numero,denominacion,direccion,localidad_barrio,municipio,estado_actual,CARACTERISTICAS,clasificacion,COORDENADAS,sup_estimada_predio,sup_afectada,Vol (m3)  JUN-10,Vol (m3)  JUL-10,ESTADO DE OBRA,FECHA DE INICIO,FECHA DE FINALIZACION,DISPOSICION FINAL,OBSERVACION,TIPO DE RESIDUO,Urbanos  (%),Peligrosos (%),Poda  (%),Patogénicos (%),Escombros (%),categoria,partido,location,semaforo_riesgo,id,erradicado
33,Puente 12,Pte. 12 y Camino de Cintura entre Richieri y Rio Matanza,Tapiales,La Matanza,Dinamico,INCLUIDO EN EL PLAN DE LIMPIEZA DE MICRO BASURALES EXP. Nº 579/09,No consolidado,"34º43'32,79""S 58º30'35,79""O",12000,300,15,10,,,,,SANEADO POR EL MUNICIPIO SE ENCUENTRRA EN PROCESO DE MANTENIMIENTO-,,0,0,0,0,0,BASURALES SANEADOS CON MANTENIMIENTO,La Matanza,-34.725775 -58.50994166666667,0,85,1
34,Arroyo Ortega I,Fair y Aº Ortega,Monte Grande,Esteban Echeverría,Residuos acumulados sobre la margen y cauce del arroyo,DINAMICO  INCLUIDO EN EL PLAN DE LIMPIEZA DE MICRO BASURALES EXP. Nº 580/09,No consolidado,"34º48'49,07"" S 58º29'56,80"" O",75000,100,15,20,,,,,"SANEADO, INCLUIDO EN EL PROYECTO DE CONVENIO ENTRE MUNICIPIO Y AYSA",,0,0,0,0,0,BASURALES SANEADOS CON MANTENIMIENTO,Esteban Echeverría,-34.813630555555555 -58.49911111111111,0,86,
1,Cañuelas,Calle Sta. Cruz interseccion Ruta Pvcial. 6,Cañuelas,Cañuelas,Basural municipal,ACTIVO  CONSOLIDADO,Consolidado,"35º02'06,23""S 58º42'46,98""O",50000,30000,151400,152000,,,,,Predio utilizado por el Municipio para relleno sanitario,,70,5,20,0,5,MACRO BASURALES MINICIPALES CUENCA ALTA,Cañuelas,-35.03506388888889 -58.71305,0,87,
2,Las Heras,Acceso Int. R. Pedrayes a 500 de la calle F. Valerga y Necochea,Las Heras,Las Heras,Basural municipal,ACTIVO CONSOLIDADO,Consolidado,"34º 56' 33,72'' S  58º 55' 26,39'' O",150000,80000,190000,192000,,,,,Predio utilizado por el Municipio para relleno sanitario,,90,5,0,0,5,MACRO BASURALES MINICIPALES CUENCA ALTA,Las Heras,-34.9427 -58.92399722222222,0,88,
3,Marcos Paz,calle  Acceso Zabala intersección del Arroyo El Martillo y Arroyo Morales,Marcos Paz,Marcos Paz,Basural municipal,ACTIVO / CONSOLIDADO,Consolidado,"34º 50' 16,17” S     58º 50' 08,62” O",35000,35000,49000,49600,,,,,Predio utilizado por el Municipio para relleno sanitario,,90,5,5,0,0,MACRO BASURALES MINICIPALES CUENCA ALTA,Marcos Paz,-34.837825 -58.83572777777778,0,89,
4,San Vicente,Ruta Prov. 58 y Calle 20 de Junio,San Vicente,San Vicente,Basural municipal,ACTIVO CONSOLIDADO,Consolidado,"35º03'01,05""S 58º26'44,32""O",50000,30000,42000,42000,,,,,Predio utilizado por el Municipio para relleno sanitario,,60,10,25,5,0,MACRO BASURALES MINICIPALES CUENCA ALTA,San Vicente,-35.050291666666666 -58.44564444444445,0,90,
1,Fabricaciones Militares,Carlos Pellegrini (Camino de la Rivera) entre Coronel Osorio y Emilio Castro.,Lanús Oeste,Lanús,Predio privado /regenteado,UTILIZADO POR EL MUNICIPIO PARA LA DISPOSICION DE ARIDOS Y PODA,Consolidado,34º 40' 41'' S  58º 26' 15 W,270000,90000,15000,15000,,,,,Predio utilizado por el Municipio para verdes y aridos,,20,0,30,0,50,MACRO BASURALES CON MAS DE 15000 M3 CON RESIDUOS SOLIDOS URBANOS,Lanús,-34.67805555555555 -58.4375,0,91,
2,Galasso,Camino de la Ribera Sur,Villa Fiorito,Lomas de Zamora,Predio privado /regenteado,ACTIVO CONSOLIDADO,Consolidado,"34º 42' 12,32'' S  58º 27' 02,50'' W",180000,100000,20000,20000,,,,,Predio utilizado para acopio de aridos,,20,5,0,0,75,MACRO BASURALES CON MAS DE 15000 M3 CON RESIDUOS SOLIDOS URBANOS,Lomas de Zamora,-34.70342222222222 -58.450694444444444,0,92,
3,Merlo D,Triunvirato interseccion Yegros,Libertad,Merlo,Predio privado /regenteado los residuos fueron utilados como relleno,ESTATICO NO CONSOLIDADO CON ASENTAMIENTO,No consolidado con asentamiento,"34º42'31,66""S  58º41'02,61""O",60000,45000,33100,37000,,,,,Predio utilizado para acopio de aridos,,20,10,5,0,65,MACRO BASURALES CON MAS DE 15000 M3 CON RESIDUOS SOLIDOS URBANOS,Merlo,-34.70879444444444 -58.68405833333333,0,93,
1,La Cascotera,Calle Morse Sin Numero,Avellaneda,Avellaneda,Predio privado /regenteado,ACTIVO,Consolidado,34º 39' 54'' S  58º 20' 19'' W,50000,40000,15000,15000,,,,,SITIO INSPECCIONADO SIN HABILITACION,,20,10,0,0,70,BASURALES CON MAS DE 500 M3 CON RESIDUOS SOLIDOS URBANOS,Avellaneda,-34.665 -58.33861111111111,0,94,
2,Chiriguano,Chiriguano y Avila,Monte Grande,Esteban Echeverria,Ubicado sobre predio privado,ACTIVO-DINAMICO,Consolidado,"34º 51' 38,34'' S  58º 27' 33,70'' W",25000,12000,13500,14000,,,,,SITIO INSPECCIONADO SIN HABILITACION,,30,15,20,0,35,BASURALES CON MAS DE 500 M3 CON RESIDUOS SOLIDOS URBANOS,Esteban Echeverría,-34.86065 -58.459361111111114,0,95,
3,Arroyo Ortega,Calle Dolores y Arenales,Esteban Echeverría,Esteban Echeverría,Predio privado utilizado por el municipio para la disposicion de aridos y verdes.,ACTIVO,No consolidado,"34º50'48,10"" S 58º28'28,86"" O",250,250,700,750,,,,,SITIO INSPECCIONADO SIN HABILITACION CON CONTROL DEL MUNICIPIO,,20,0,30,0,50,BASURALES CON MAS DE 500 M3 CON RESIDUOS SOLIDOS URBANOS,Esteban Echeverría,-34.846694444444445 -58.47468333333333,0,96,1
4,Tristan Suarez I,Montevideo Y Vespucio,Tristan Suarez,Ezeiza,Regenteado por el municipio,ACTIVO / CONSOLIDADO,Consolidado,"34º55'02,65""S  58º33'43,70""O",100000,50000,4100,4500,,,,,SITIO INSPECCIONADO SIN HABILITACION CON CONTROL DEL MUNICIPIO,,60,5,15,0,20,BASURALES CON MAS DE 500 M3 CON RESIDUOS SOLIDOS URBANOS,Ezeiza,-34.91740277777778 -58.56213888888889,0,97,
5,La Tosquera,Vicente Blasco Hibañez entre Gral Rivas y Equiza,Gonzalez Catan,La Matanza,Predio privado sin cercar,ACTIVO - DINAMICO,No consolidado con asentamiento,"34º48'2,44""S 58º36'48,32""O",180000,60000,560,600,,,,,"SITIO INSPECCIONADO CAVA ANEGADA CN AGUA,PROFUNDIDAD DE 22 MTS",,100,0,0,0,0,BASURALES CON MAS DE 500 M3 CON RESIDUOS SOLIDOS URBANOS,La Matanza,-34.80067777777778 -58.61342222222222,0,98,
