numero,denominacion,direccion,localidad_barrio,municipio,estado_actual,CARACTERISTICAS,clasificacion,COORDENADAS,sup_estimada_predio,sup_afectada,Vol (m3)  JUN-10,Vol (m3)  JUL-10,ESTADO DE OBRA,FECHA DE INICIO,FECHA DE FINALIZACION,DISPOSICION FINAL,OBSERVACION,TIPO DE RESIDUO,Urbanos  (%),Peligrosos (%),Poda  (%),Patogénicos (%),Escombros (%),categoria,partido,location,semaforo_riesgo,id,erradicado
4,Camino de Las Latas,intersec. Calle Int. E. Carmona y Av. Argentina,Longchamps,Almirante Brown,"Ubicado entre la poblacion con alta incidencia a la misma, via publica",DINAMICO   INCLUIDO EN EL PLAN DE LIMPIEZA DE MICRO BASURALES EXP. Nº 582/09,No consolidado,"34º 51' 39,74'' S  58º 24' 22,74'' W",4000,4000,280,300,,,,,SANEADO POR EL MUNICIPIO SE ENCUENTRRA EN PROCESO DE MANTENIMIENTO-,,40,0,10,0,50,BASURALES SANEADOS CON MANTENIMIENTO,Almirante Brown,-34.86103888888889 -58.40631666666667,0,56,
5,Espora I,Av. Espora entre Yapeyu y Juan B. Justo,Longchamps,Almirante Brown,Predio con predominiode rsu ubicado en zona periferica,ESTATICO   INCLUIDO EN EL PLAN DE LIMPIEZA DE MICRO BASURALES EXP. Nº 582/09,No consolidado,"34º51'46,36""S 58ª21'48,03""O",250,250,220,260,,,,,SANEADO POR EL MUNICIPIO SE ENCUENTRRA EN PROCESO DE MANTENIMIENTO-,,100,0,0,0,0,BASURALES SANEADOS CON MANTENIMIENTO,Almirante Brown,-34.862877777777776 -58.36334166666666,0,57,
6,Espora II,Av. Espora interseccion Ribera,Longchamps,Almirante Brown,Ubicado en la via publica,ACTIVO-DINAMICO,Consolidado,"34º52'14,80""S 58ª21'23,71""O",250,200,250,210,,,,,SANEADO POR EL MUNICIPIO SE ENCUENTRRA EN PROCESO DE MANTENIMIENTO-,,70,0,20,0,10,BASURALES SANEADOS CON MANTENIMIENTO,Almirante Brown,-34.870777777777775 -58.35658611111111,0,58,1
7,Club Aleman,Ingenieros y Arenales,Burzaco,Almirante Brown,Predio privado,DINAMICO   INCLUIDO EN EL PLAN DE LIMPIEZA DE MICRO BASURALES EXP. Nº 582/09,No consolidado,"34º50'13,26""S 58º26'9,39"" O",35000,150,10,15,,,,,SANEADO POR EL MUNICIPIO SE ENCUENTRRA EN PROCESO DE MANTENIMIENTO-,,20,0,0,0,80,BASURALES SANEADOS CON MANTENIMIENTO,Almirante Brown,-34.83701666666666 -58.435941666666665,0,59,
7,Bueras,Calle Bueras y Madariaga,Parque Ind. Lanus,Lanus,Predio privado /regenteado,ESTATICO  CONSOLIDADO,Consolidado,34º 42' 29'' S  58º 21' 43'' W,30000,20000,1000,900,,,,,En el momento del control se estaban retirando los residuos existentes en este sitio.,,20,0,10,0,70,BASURALES CON MAS DE 500 M3 CON RESIDUOS SOLIDOS URBANOS,Lanús,-34.70805555555555 -58.36194444444445,0,100,1
8,Velódromo de Lanús,ex vias del F.C Gral Roca y calle Gral Ferre,Remedios de escalada,Lanús,Rellenos de aridos predio privado,ESTATICO,Consolidado,"34º 42' 53,01'' S  58º 23' 27,98'' W",30000,20000,6,60,,,,,RELLENO DE ARIDOS Y RESIDUOS,,15,0,0,0,85,BASURALES CON MAS DE 500 M3 CON RESIDUOS SOLIDOS URBANOS,Lanús,-34.714725 -58.391105555555555,0,101,1
9,Otamendi,Otamendi al 1300 intersección Virrey Liniers,Valentín Alsina,Lanús,Predio privado /regenteado,ESTATICO   INCLUIDO EN EL PLAN DE LIMPIEZA DE MICRO BASURALES EXP. Nº 578/09,Consolidado,34º 40' 03'' S  58º 25' 15'' W,30000,25000,6000,6300,,,,,"Se observo la elevacion del nivel de suelo en aproximadamente 7,60mts, producto del relleno que se efectuo con los residuos.",,20,0,0,0,80,BASURALES CON MAS DE 500 M3 CON RESIDUOS SOLIDOS URBANOS,Lanús,-34.6675 -58.420833333333334,0,102,1
10,Don Bartolome,Camino de la Ribera Sur y cauce viejo Rio Matanza,Ing. Budge,Lomas de Zamora,Predio privado /regenteado los residuos fueron utilados como relleno,ACTIVO,Consolidado,"34º 43' 52,12'' S  58º 29' 13,37'' W",20000,10000,620,600,,,,,RELLENO DE ARIDOS Y RESIDUOS,,50,10,15,0,25,BASURALES CON MAS DE 500 M3 CON RESIDUOS SOLIDOS URBANOS,Lomas de Zamora,-34.731144444444446 -58.48704722222222,0,103,1
11,Cava Santa Catalina,Calle Juan XXIII  al 4000,Santa Catalina,Lomas de Zamora,Predio privado /regenteado los residuos fueron utilados como relleno,ESTATICO,Consolidado,"34º 46' 39,11''S   58º 27' 01,87'' W",30000,30000,3700,3700,,,,,-0,,30,1,19,0,50,BASURALES CON MAS DE 500 M3 CON RESIDUOS SOLIDOS URBANOS,Lomas de Zamora,-34.77753055555556 -58.450519444444446,0,104,
12,Merlo E,Tilcara entre Luis Campos y Gavilan,Ferrari,Merlo,Ubicado sobre predio privado/relleno con aridos,DINAMICO NO CONSOLIDADO,No consolidado,"34º42'50,38""S  58º43'19,70""O",2000,1000,720,720,,,,,-0,,90,0,10,0,0,BASURALES CON MAS DE 500 M3 CON RESIDUOS SOLIDOS URBANOS,Merlo,-34.713994444444445 -58.72213888888889,0,105,
