nombre,id,tipo,inicio,location,center,partido
Virgen de Lujan,abr-01,Villa,1988,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.3439558833974,-34.7757505833588,0 -58.3435062299338,-34.7762411148188,0 -58.3417212783686,-34.7752044088582,0 -58.3406557372929,-34.7763933022827,0 -58.33738527477351,-34.7744002796778,0 -58.3386451671312,-34.7727556204674,0 -58.33885077003141,-34.7728921408535,0 -58.3401341336997,-34.7712286822143,0 -58.3435912107712,-34.7731477649096,0 -58.34228588727071,-34.7747536538016,0 -58.3439558833974,-34.7757505833588,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.7739297603653 -58.34064644703781,
Villa Ramírez,abr-02,Villa,,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.3474696972632,-34.7681090506221,0 -58.3468326502156,-34.7689309535329,0 -58.3414197661416,-34.7661510979079,0 -58.3420402091501,-34.7653220754585,0 -58.3474696972632,-34.7681090506221,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.7671283773732 -58.3444412867026,
Villa La Gloria,abr-03,Villa,,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.33508772411239,-34.7628972360373,0 -58.3317638011189,-34.7612274288821,0 -58.3341526769089,-34.7580984024857,0 -58.3353321705078,-34.7587244562679,0 -58.3348598092373,-34.7593895442622,0 -58.3373376032253,-34.7606804136024,0 -58.33508772411239,-34.7628972360373,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.7606864927841 -58.3344756300569,
San Ramón,abr-04,Villa,1991,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.3368450096193,-34.7545743002893,0 -58.3393649564974,-34.755941778346,0 -58.3384359832958,-34.7571631522179,0 -58.3359258519142,-34.7557653189264,0 -58.3368450096193,-34.7545743002893,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.7558639184414 -58.33764703190779,
Garay,abr-05,Villa,,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.3429426039129,-34.7578420047287,0 -58.3420271914588,-34.7589777525279,0 -58.340346596514,-34.7580841253145,0 -58.3410782997454,-34.7568597730392,0 -58.3429426039129,-34.7578420047287,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.7579313813876 -58.34160640324781,
Puerto Argentino- 26 de Junio,abr-06,Villa,1992,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.3349441332613,-34.7708026138926,0 -58.33388959653081,-34.772202895262,0 -58.3307913964794,-34.770345520451,0 -58.3317296437837,-34.7691205094244,0 -58.3349441332613,-34.7708026138926,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.7706372436885 -58.332872183807,
Villa Barrio Don Orione,abr-07,Villa,,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.3345687275462,-34.8040280824742,0 -58.33767409970101,-34.8058682076045,0 -58.3363205577869,-34.8076473570947,0 -58.3553231405555,-34.8180645944067,0 -58.34980373703989,-34.8253894875958,0 -58.3279725604753,-34.8144308697463,0 -58.3294809450993,-34.8125285283594,0 -58.3280755925961,-34.8118403287934,0 -58.3328081120283,-34.8058852341232,0 -58.3330091069244,-34.8059715992126,0 -58.3345687275462,-34.8040280824742,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.8153596279864 -58.3409661036787,
Betharran,abr-08,Villa,1978,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.4063139269889,-34.8156560307444,0 -58.40592379392319,-34.8159348437485,0 -58.4049442761091,-34.8163228408434,0 -58.4048817692232,-34.8164138793766,0 -58.40472622291831,-34.816603908361,0 -58.4045178090282,-34.8169101522072,0 -58.40443586008341,-34.8169591826428,0 -58.404237888592,-34.8172488627131,0 -58.4035554850264,-34.8169309308844,0 -58.4043778990795,-34.8157642621184,0 -58.4044420158587,-34.8155897392302,0 -58.4049099345987,-34.8149528650062,0 -58.4063139269889,-34.8156560307444,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.8160307643421 -58.4048290880959,
San Cayetano,abr-09,Asentamiento,1988,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.3295915915323,-34.7833785720771,0 -58.3278466363563,-34.7860112345475,0 -58.3255782713988,-34.7848318398544,0 -58.3272696213581,-34.7821534445483,0 -58.3295915915323,-34.7833785720771,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.7840872843479 -58.3275744567555,
La Loma,abr-10,Asentamiento,1988,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.3321015523246,-34.766058303285,0 -58.3317984521546,-34.7658900890588,0 -58.3321982508341,-34.765369212096,0 -58.3325667748681,-34.7655793347019,0 -58.3321015523246,-34.766058303285,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.7657156465649 -58.3321734047735,
27 de Marzo (San José),abr-11,Asentamiento,1988,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.33505525994909,-34.7630949303914,0 -58.3326898555454,-34.7654607244923,0 -58.3323020936564,-34.7652460494488,0 -58.3343135644236,-34.7627041203882,0 -58.33505525994909,-34.7630949303914,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.7640013633875 -58.3337020163108,
8 de Diciembre/ 3 de Diciembre,abr-12,Asentamiento,1985,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.3392596435817,-34.7652135348577,0 -58.33688049275671,-34.7682852402393,0 -58.33502828993449,-34.7673036524981,0 -58.3373712475344,-34.7642609140052,0 -58.3392596435817,-34.7652135348577,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.7662653881051 -58.3371376947313,
